	v7EBR1	v8EBR1	v12EBR1	v17EBR1	v7MBR1	v8MBR1	v12MBR1	v17MBR1	v7LBR1	v8LBR1	v12LBR1	v17LBR1	v7WBR1	v8WBR1	v12WBR1	v17WBR1	v7EHR1	v8EHR1	v12EHR1	v17EHR1	v7MHR1	v8MHR1	v12MHR1	v17MHR1	v7LHR1	v8LHR1	v12LHR1	v17LHR1	v7WHR1	v8WHR1	v12WHR1	v17WHR1	FemaleA1R1	FemaleA2R1	FemaleA3R1	FemaleA4R1	FemaleO1R1	FemaleO2R1	FemaleO3R1	FemaleO4R1	FemaleH1R1	FemaleH2R1	FemaleH3R1	FemaleH4R1	FemaleL1R1	FemaleL2R1	FemaleL3R1	FemaleL4R1	FemaleM1R1	FemaleM2R1	FemaleM3R1	FemaleM4R1	FemaleT1R1	FemaleT2R1	FemaleT3R1	FemaleT4R1	MaleA1R1	MaleA2R1	MaleA3R1	MaleA4R1	MaleC1R1	MaleC2R1	MaleC4R1	MaleH1R1	MaleH2R1	MaleH3R1	MaleH4R1	MaleL1R1	MaleL2R1	MaleL3R1	MaleL4R1	MaleM1R1	MaleM2R1	MaleM3R1	MaleM4R1	MaleT1R1	MaleT2R1
XP015521829.1	53.674	26.512	63.469	54.525	16.531	69.73	47.475	12.242	80.987	78.462	54.097	79.071	89.815	48.469	93.114	98.357	73.88	83.038	74.159	58.955	36.666	43.822	49.87	53.806	111.918	102.262	91.945	86.236	95.47	100.113	133.226	197.6	91.03	81.582	83.333	59.033	52.718	83.223	69.688	75.935	88.905	108.8	82.083	91.936	70.423	102.104	91.378	96.628	177.35	158.558	131.953	124.353	43.643	38.741	26.309	43.336	79.099	54.444	65.148	74.839	137.071	100.327	77.02	157.002	143.584	105.276	117.805	108.388	104.952	102.32	120.857	181.727	138.391	138.964	170.573	51.881	59.785
XP015510191.1	0	0	0	0	0	0	0	0	0	0	0	0	0	5.094	8.418	0	0	0	0	0	0	0	0	0.23	0	0	0	0	0	0.699	7.932	0	3.166	0	0	1.54	3.093	4.768	6.66	6.743	0	2.496	4.476	8.817	0	0	2.811	3.325	6.421	0	0	13.118	9.855	0.596	0	0	0	0	0	1	6.797	12.042	14.133	8.619	0	0.032	4.279	0.853	0	3.336	3.11	0	1.189	0.461	9.458	0	5.486
EGI65722.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.812	90.427	18.237	0	0	10.703	0	0	0	0	0	0	0	0	0	0	93.156	0	0	71.133	0	0	0	37.818	0	47.37	0	0	19.84	0	0	0	0	0	0	0	0	0	94.279
XP015511543.1	35.992	55.408	32.889	47.116	11.164	31.959	11.801	23.249	13.194	4.052	10.208	6.992	5.539	10.412	1.269	3.143	182.14	155.714	249.763	121.966	88.54	133.07	38.005	88.724	102.135	76.207	56.2	67.913	197.979	230.167	193.69	159.948	118.903	102.511	94.91	98.89	16.432	5.365	3.636	1.585	730.03	508.976	365.435	335.957	79.612	32.669	22.636	19.694	47.078	27.908	22.052	9.054	55.261	15.776	35.979	36.506	93.433	74.927	70.84	71.852	16.33	3.982	0	485.7	397.6	527.92	450.05	33.329	16.669	35.174	35.918	39.883	42.402	32.693	35.631	35.051	57.377
KMQ90064.1	0	0	0	8.335	0	0	0	0	0	0	0	0	0	0	0	0	6.717	0	0	7.359	0	0	0	4.528	0	0	0	0	0	0	0	0	0	0	3.109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.474	0	0	31.159	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XP015521571.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.275	0	0	0	0	0	0	0	0	2.348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.132	0	0	0	0	0	0	3.258	0	2.912	0	0	0	0	0	0	0	0
KYN07988.1	0	0	0	2.404	0	0	0	0	0	1.027	0	0	2.83	0	9.697	2.411	0	1.882	0	0	0	0	0	0.871	0	0	0	0	0	0	2.478	3.065	0.337	0	0.899	0	0	0	0	0	0.982	1.383	3.439	0	0	0	0	0	0	3.294	3.078	0	0	0	0	0	0	0	0	4.328	0	0	0	0	0	0	0	5.112	0	0	0	0	0	0	0	0	0
XP015509318.1	1.296	0	90.758	22.898	4.186	204.542	66.056	43.016	157.355	20.708	55.276	19.151	0.009	11.75	1.722	11.767	88.865	33.5	37.664	58.117	67.641	97.242	41.302	84.37	35.276	20.554	52.794	95.991	6.364	6.214	7.237	12.634	0	0	0	0.481	0	0	0	1.704	0	0.023	0	0	0.564	3.389	0	1.387	0	0	1.225	0	2.725	0	1.804	1.993	0	0	0	0	0	0.352	0	1.373	0	0	0	0.979	0	0	2.895	0	0	0	0	0	1.902
XP015524813.1	0	0	0	2.778	0	0	0	2.359	0	0.391	0	0	0	1.418	0	0	0	0	0	0	0	0	0	0	0	0	0.44	2.103	0	0	0	0	0	0	0.692	1.514	0	0	1.488	0	0	0	0.688	1.017	2.084	0	0	2.267	0	0	1.187	0	0.971	1.939	0	0	0	0.517	0	0	1.116	3.903	0	0	0.927	0	0.571	0	0	0	0	0.48	1.318	1.118	1.14	0	0.904
XP012255708.1	35.95	0	144.426	27.056	0	0	84.738	0	0	58.058	58.703	40.228	0	0	0	0	7.263	0	0	0	0	3.43	0	0	8.03	46.55	0	0	0	0	9.269	0	2.548	0	0	2.477	0	0	10.447	0	0	0	0	0	0	0	0	0	0	0	0	0	10.232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
